;bld_name;Techno;latitude;longitude;bld_azimut;cll_azimut;tilt;row_dist;N_panel;ratio;cll_layout;cll_alignment;Optimal tilt or max4dist;el cover ratio;el coverage;el production;el demand;th cover ratio;th coverage;th production;th demand;spec_prod_e;spec_prod_th;ICPe;ICPth
0;1.0;pv;46.5098019;6.6617476;60.0;180.0;20.0;0.6;52.0;0.557142857142857;east-west;south;tilt;0.35082165831274753;13609.342944265576;30543.260590824808;38792.767270181575;0.0;0.0;0.0;61934.38989587;254.98249747856136;0.0;63.29926950821198;0.0
1;1.0;solarCollector;46.5098019;6.6617476;60.0;180.0;20.0;0.6;52.0;0.557142857142857;east-west;south;tilt;0.0;0.0;0.0;21097.227299933;0.2857708840258226;17699.045352142748;101597.092730598;61934.38989587;0.0;848.1570055029053;0.0;82.32114117275697
2;1.0;pv;46.5098019;6.6617476;60.0;150.0;20.0;0.6;60.0;0.6428571428571428;east-west;long;tilt;0.36461721463150165;14144.510749901689;35184.87528281932;38792.767270181575;0.0;0.0;0.0;61934.38989587;254.56757310566945;0.0;65.788422092566;0.0
3;1.0;solarCollector;46.5098019;6.6617476;60.0;150.0;20.0;0.6;60.0;0.6428571428571428;east-west;long;tilt;0.0;0.0;0.0;21097.227299933;0.29380477421229956;18196.61943933261;117018.30869830461;61934.38989587;0.0;846.6440939412221;0.0;84.63543925270982
4;1.0;pv;46.5098019;6.6617476;60.0;240.0;20.0;0.6;60.0;0.6428571428571428;east-west;short;tilt;0.3624937282934515;14062.1348385883;34949.711613987674;38792.767270181575;0.0;0.0;0.0;61934.38989587;252.86613054047933;0.0;65.40527831901534;0.0
5;1.0;solarCollector;46.5098019;6.6617476;60.0;240.0;20.0;0.6;60.0;0.6428571428571428;east-west;short;tilt;0.0;0.0;0.0;21097.227299933;0.290593943781578;17997.75861554678;116166.18582234709;61934.38989587;0.0;840.4788638309352;0.0;83.71050518858968
6;1.0;pv;46.5098019;6.6617476;60.0;180.0;36.0;1.3807267153084744;34.0;0.36428571428571427;portrait;south;tilt;0.3087663647885219;11977.901730101115;23078.059908812702;38792.767270181575;0.0;0.0;0.0;61934.38989587;294.65831164922736;0.0;55.7111708376796;0.0
7;1.0;solarCollector;46.5098019;6.6617476;60.0;180.0;36.0;1.3807267153084744;34.0;0.36428571428571427;portrait;south;tilt;0.0;0.0;0.0;21097.227299933;0.2661173632529675;16481.816533770154;77795.60171039737;61934.38989587;0.0;993.2862963479829;0.0;76.65961178497746
8;1.0;pv;46.5098019;6.6617476;60.0;180.0;7.0;0.6;46.0;0.4928571428571428;portrait;south;max4dist;0.33844950903936843;13129.393036871435;29049.61117861906;38792.767270181575;0.0;0.0;0.0;61934.38989587;274.14530266307173;0.0;61.06694435754155;0.0
9;1.0;solarCollector;46.5098019;6.6617476;60.0;180.0;7.0;0.6;46.0;0.4928571428571428;portrait;south;max4dist;0.0;0.0;0.0;21097.227299933;0.2798758825641332;17333.94203317775;97278.1709308053;61934.38989587;0.0;918.0279022792546;0.0;80.62298620082674
10;1.0;pv;46.5098019;6.6617476;60.0;180.0;46.0;1.689752636423808;32.0;0.3428571428571428;portrait;south;tilt+10;0.2989704717473812;11597.891931152553;21388.558657244015;38792.767270181575;0.0;0.0;0.0;61934.38989587;290.1548655052483;0.0;53.943683400709546;0.0
11;1.0;solarCollector;46.5098019;6.6617476;60.0;180.0;46.0;1.689752636423808;32.0;0.3428571428571428;portrait;south;tilt+10;0.0;0.0;0.0;21097.227299933;0.26003130286663956;16104.880096873514;72027.99309805818;61934.38989587;0.0;977.1239373767584;0.0;74.90641905522565
12;1.0;pv;46.5098019;6.6617476;60.0;180.0;56.0;1.9474362787374955;31.0;0.33214285714285713;portrait;south;tilt+20;0.2898363016652654;11243.55219695078;19962.09619541744;38792.767270181575;0.0;0.0;0.0;61934.38989587;279.5392315437301;0.0;52.29559161372456;0.0
13;1.0;solarCollector;46.5098019;6.6617476;60.0;180.0;56.0;1.9474362787374955;31.0;0.33214285714285713;portrait;south;tilt+20;0.0;0.0;0.0;21097.227299933;0.2531615470561173;15679.40596201521;67035.57147938281;61934.38989587;0.0;938.73268388233;0.0;72.92746959076841
14;1.0;pv;46.5098019;6.6617476;60.0;240.0;26.0;1.0297481116299227;42.0;0.44999999999999996;portrait;long;tilt;0.31817127060851075;12342.744052773922;26850.488732117206;38792.767270181575;0.0;0.0;0.0;61934.38989587;277.5244313397127;0.0;57.408111873367076;0.0
15;1.0;solarCollector;46.5098019;6.6617476;60.0;240.0;26.0;1.0297481116299227;42.0;0.44999999999999996;portrait;long;tilt;0.0;0.0;0.0;21097.227299933;0.2563886919139279;15879.277209889302;90042.12404114562;61934.38989587;0.0;930.6679487456913;0.0;73.85710330181071
16;1.0;pv;46.5098019;6.6617476;60.0;240.0;7.0;0.6;54.0;0.5785714285714285;portrait;long;max4dist;0.3541312746999216;13737.7321225268;33512.656531454384;38792.767270181575;0.0;0.0;0.0;61934.38989587;269.4098142063517;0.0;63.89642847686884;0.0
